[0. 0.],[-0.41958042  3.25579116],[-0.33916084  3.23286305],
[-0.25874126  3.20993494],[-0.17832168  3.18700684],[-0.0979021   3.16407873],
[-0.01748252  3.14115062],[0.06293706 3.11822252],[0.14335664 3.09529441],
[0.22377622 3.0723663 ],[0.3041958  3.04943819],[0.38461538 3.02651009],
[0.46503497 3.00358198],[-0.45454545  2.98065387],[-0.37412587  2.95772577],
[-0.29370629  2.93479766],[-0.21328671  2.91186955],[-0.13286713  2.88894145],
[-0.05244755  2.86601334],[0.02797203 2.84308523],[0.10839161 2.82015713],
[0.18881119 2.79722902],[0.26923077 2.77430091],[0.34965035 2.75137281],
[0.43006993 2.7284447 ],[0.51048951 2.70551659],[-0.40909091  2.68258849],
[-0.32867133  2.65966038],[-0.24825175  2.63673227],[-0.16783217  2.61380417],
[-0.08741259  2.59087606],[-0.00699301  2.56794795],[0.07342657 2.54501985],
[0.15384615 2.52209174],[0.23426573 2.49916363],[0.31468531 2.47623553],
[0.3951049  2.45330742],[0.47552448 2.43037931],[0.55594406 2.40745121],
[-0.36363636  2.3845231 ],[-0.28321678  2.36159499],[-0.2027972   2.33866689],
[-0.12237762  2.31573878],[-0.04195804  2.29281067],[0.03846154 2.26988257],
[0.11888112 2.24695446],[0.1993007  2.22402635],[0.27972028 2.20109825],
[0.36013986 2.17817014],[0.44055944 2.15524203],[0.52097902 2.13231393],
[0.6013986  2.10938582],[-0.31818182  2.08645771],[-0.23776224  2.06352961],
[-0.15734266  2.0406015 ],[-0.07692308  2.01767339],[0.0034965  1.99474529],
[0.08391608 1.97181718],[0.16433566 1.94888907],[0.24475524 1.92596097],
[0.32517483 1.90303286],[0.40559441 1.88010475],[0.48601399 1.85717664],
[0.56643357 1.83424854],[0.64685315 1.81132043],[-0.27272727  1.78839232],
[-0.19230769  1.76546422],[-0.11188811  1.74253611],[-0.03146853  1.719608  ],
[0.04895105 1.6966799 ],[0.12937063 1.67375179],[0.20979021 1.65082368],
[0.29020979 1.62789558],[0.37062937 1.60496747],[0.45104895 1.58203936],
[0.53146853 1.55911126],[0.61188811 1.53618315],[0.69230769 1.51325504],
[-0.22727273  1.49032694],[-0.14685315  1.46739883],[-0.06643357  1.44447072],
[0.01398601 1.42154262],[0.09440559 1.39861451],[0.17482517 1.3756864 ],
[0.25524476 1.3527583 ],[0.33566434 1.32983019],[0.41608392 1.30690208],
[0.4965035  1.28397398],[0.57692308 1.26104587],[0.65734266 1.23811776],
[0.73776224 1.21518966],[-0.18181818  1.19226155],[-0.1013986   1.16933344],
[-0.02097902  1.14640534],[0.05944056 1.12347723],[0.13986014 1.10054912],
[0.22027972 1.07762102],[0.3006993  1.05469291],[0.38111888 1.0317648 ],
[0.46153846 1.0088367 ],[0.54195804 0.98590859],[0.62237762 0.96298048],
[0.7027972  0.94005238],[0.78321678 0.91712427],[-0.13636364  0.89419616],
[-0.05594406  0.87126806],[0.02447552 0.84833995],[0.1048951  0.82541184],
[0.18531469 0.80248374],[0.26573427 0.77955563],[0.34615385 0.75662752],
[0.42657343 0.73369942],[0.50699301 0.71077131],[0.58741259 0.6878432 ],
[0.66783217 0.6649151 ],[0.74825175 0.64198699],[0.82867133 0.61905888],
[-0.09090909  0.59613077],[-0.01048951  0.57320267],[0.06993007 0.55027456],
[0.15034965 0.52734645],[0.23076923 0.50441835],[0.31118881 0.48149024],
[0.39160839 0.45856213],[0.47202797 0.43563403],[0.55244755 0.41270592],
[0.63286713 0.38977781],[0.71328671 0.36684971],[0.79370629 0.3439216 ],
[0.87412587 0.32099349],[-0.04545455  0.29806539],[0.03496503 0.27513728],
[0.11538462 0.25220917],[0.1958042  0.22928107],[0.27622378 0.20635296],
[0.35664336 0.18342485],[0.43706294 0.16049675],[0.51748252 0.13756864],
[0.5979021  0.11464053],[0.67832168 0.09171243],[0.75874126 0.06878432],
[0.83916084 0.04585621],[0.91958042 0.02292811],
